"days","Cat_1","Cat_2","L_Start","M_Start","H_Start","average_duration","std_duration","Activity","Var_1","Var_2"
"Monday","(14,25]","Female",1,4,22,400.935855242948,145.771128039199,"Sleeping","CohAge","SEX2"
"Monday","(25,44]","Male",0,4,23,303.327290407963,187.544312870726,"Sleeping","CohAge","SEX2"
"Monday","(25,44]","Female",0,4,23,278.563294196129,172.874580856078,"Sleeping","CohAge","SEX2"
"Monday","(44,64]","Male",1,4,23,281.382613727087,162.100452959707,"Sleeping","CohAge","SEX2"
"Monday","(44,64]","Female",0,4,23,247.639104556531,170.630946552009,"Sleeping","CohAge","SEX2"
"Monday","(64,85]","Male",1,4,23,344.65303900351,176.02977798949,"Sleeping","CohAge","SEX2"
"Monday","(64,85]","Female",0,4,23,267.380797758557,156.695032923934,"Sleeping","CohAge","SEX2"
"Thursday","(14,25]","Male",1,4,22,368.79570489016,161.844866812444,"Sleeping","CohAge","SEX2"
"Thursday","(14,25]","Female",0,4,20,302.240099249846,135.697808464013,"Sleeping","CohAge","SEX2"
"Thursday","(25,44]","Male",2,4,23,342.959885573526,193.410637467599,"Sleeping","CohAge","SEX2"
"Thursday","(25,44]","Female",1,4,23,289.918978088934,197.646782221775,"Sleeping","CohAge","SEX2"
"Thursday","(44,64]","Male",4,4,23,256.189929425508,195.291559516278,"Sleeping","CohAge","SEX2"
"Thursday","(44,64]","Female",0,4,23,302.595064513386,158.540190549341,"Sleeping","CohAge","SEX2"
"Thursday","(64,85]","Male",0,4,23,250.726198260651,176.746449402682,"Sleeping","CohAge","SEX2"
"Thursday","(64,85]","Female",4,4,23,293.445116836328,162.635612349265,"Sleeping","CohAge","SEX2"
"Friday","(14,25]","Male",4,17,22,426.181567602172,183.298774907363,"Sleeping","CohAge","SEX2"
"Friday","(14,25]","Female",0,4,21,296.506310210479,222.649214795208,"Sleeping","CohAge","SEX2"
"Friday","(25,44]","Male",2,4,23,306.151665153135,196.792606144205,"Sleeping","CohAge","SEX2"
"Friday","(25,44]","Female",4,4,23,354.492637352698,213.634005599544,"Sleeping","CohAge","SEX2"
"Friday","(44,64]","Male",1,4,23,342.313930922953,189.850023242443,"Sleeping","CohAge","SEX2"
"Friday","(44,64]","Female",4,4,23,426.751049100763,201.96936938966,"Sleeping","CohAge","SEX2"
"Friday","(64,85]","Male",4,4,23,330.004079977072,207.272063862256,"Sleeping","CohAge","SEX2"
"Friday","(64,85]","Female",0,4,23,272.513560085324,157.516118431121,"Sleeping","CohAge","SEX2"
"Saturday","(14,25]","Male",0,4,23,513.011710587848,296.507928878027,"Sleeping","CohAge","SEX2"
"Saturday","(14,25]","Female",0,4,22,434.906494785341,208.991932795136,"Sleeping","CohAge","SEX2"
"Saturday","(25,44]","Male",0,4,23,328.965870096927,192.454230021435,"Sleeping","CohAge","SEX2"
"Saturday","(25,44]","Female",0,4,23,328.2238100309,192.770017731402,"Sleeping","CohAge","SEX2"
"Saturday","(44,64]","Male",0,4,23,318.982161246231,211.679983946073,"Sleeping","CohAge","SEX2"
"Saturday","(44,64]","Female",0,4,23,319.804467579315,180.429344143855,"Sleeping","CohAge","SEX2"
"Saturday","(64,85]","Male",0,4,23,306.826884269297,180.378520681149,"Sleeping","CohAge","SEX2"
"Saturday","(64,85]","Female",0,4,23,317.512811863133,172.535354312253,"Sleeping","CohAge","SEX2"
"Sunday","(14,25]","Less than $29,999",0,4,22,384.853839308774,168.827671449006,"Sleeping","CohAge","IncomeNew"
"Sunday","(14,25]","$30,000 to $59,999",0,4,23,289.602085244181,143.672871146041,"Sleeping","CohAge","IncomeNew"
"Sunday","(14,25]","$60,000 to $99,999",1,4,23,443.540176196551,135.1608059376,"Sleeping","CohAge","IncomeNew"
"Sunday","(14,25]","$100,000 and over",0,4,23,395.647780778668,104.851728049341,"Sleeping","CohAge","IncomeNew"
"Sunday","(25,44]","Less than $29,999",0,4,23,364.478709848256,184.828295788257,"Sleeping","CohAge","IncomeNew"
"Sunday","(25,44]","$30,000 to $59,999",0,4,22,403.795517301592,193.568506975206,"Sleeping","CohAge","IncomeNew"
"Sunday","(25,44]","$60,000 to $99,999",1,4,23,389.457376815333,211.463948558424,"Sleeping","CohAge","IncomeNew"
"Sunday","(25,44]","$100,000 and over",0,4,23,347.583216749768,158.287971414401,"Sleeping","CohAge","IncomeNew"
"Sunday","(44,64]","Less than $29,999",0,4,23,346.931380386405,160.75521719229,"Sleeping","CohAge","IncomeNew"
"Sunday","(44,64]","$30,000 to $59,999",0,4,23,316.523182015868,147.962025839895,"Sleeping","CohAge","IncomeNew"
"Sunday","(44,64]","$60,000 to $99,999",1,4,22,369.600798482924,206.004717900455,"Sleeping","CohAge","IncomeNew"
"Sunday","(44,64]","$100,000 and over",0,4,23,322.707509569238,164.42469819819,"Sleeping","CohAge","IncomeNew"
"Sunday","(64,85]","Less than $29,999",2,4,23,327.003239998787,220.424526705413,"Sleeping","CohAge","IncomeNew"
"Sunday","(64,85]","$30,000 to $59,999",0,4,23,283.480306141973,171.038988597242,"Sleeping","CohAge","IncomeNew"
"Sunday","(64,85]","$60,000 to $99,999",0,4,23,319.492372075726,155.876661002934,"Sleeping","CohAge","IncomeNew"
"Sunday","(64,85]","$100,000 and over",0,4,23,322.449693817232,141.123894421311,"Sleeping","CohAge","IncomeNew"
"Tuesday","(14,25]","Less than $29,999",4,13,22,285,165.000001201125,"Sleeping","CohAge","IncomeNew"
"Tuesday","(14,25]","$30,000 to $59,999",4,4,23,395.460468369104,127.601568128589,"Sleeping","CohAge","IncomeNew"
"Tuesday","(14,25]","$100,000 and over",4,13.5,23,495,135.000000510311,"Sleeping","CohAge","IncomeNew"
"Tuesday","(25,44]","Less than $29,999",4,4,23,443.59145540852,218.293016979973,"Sleeping","CohAge","IncomeNew"
"Tuesday","(25,44]","$30,000 to $59,999",2,4,23,265.2596270443,159.210396731339,"Sleeping","CohAge","IncomeNew"
"Tuesday","(25,44]","$60,000 to $99,999",1,4,21,349.188998299236,152.969586081672,"Sleeping","CohAge","IncomeNew"
"Tuesday","(25,44]","$100,000 and over",4,4,23,256.226300750468,183.45293460748,"Sleeping","CohAge","IncomeNew"
"Tuesday","(44,64]","Less than $29,999",0,4,23,322.583487856272,171.082176223231,"Sleeping","CohAge","IncomeNew"
"Tuesday","(44,64]","$30,000 to $59,999",3,4,23,323.926372718642,170.886568423539,"Sleeping","CohAge","IncomeNew"
"Tuesday","(44,64]","$60,000 to $99,999",0,4,23,265.112310445321,164.826088355278,"Sleeping","CohAge","IncomeNew"
"Tuesday","(44,64]","$100,000 and over",4,4,23,333.394757488258,160.096734282757,"Sleeping","CohAge","IncomeNew"
"Tuesday","(64,85]","Less than $29,999",0,4,21,337.004261405461,214.051485166094,"Sleeping","CohAge","IncomeNew"
"Tuesday","(64,85]","$30,000 to $59,999",3,19,23,259.064225837757,127.740350650781,"Sleeping","CohAge","IncomeNew"
"Tuesday","(64,85]","$60,000 to $99,999",3,5,23,197.605679599984,138.584800644224,"Sleeping","CohAge","IncomeNew"
"Tuesday","(64,85]","$100,000 and over",2,4,22,230.959564863747,155.077529042675,"Sleeping","CohAge","IncomeNew"
"Wednesday","(14,25]","Less than $29,999",4,13.5,23,270,150.000001160198,"Sleeping","CohAge","IncomeNew"
"Wednesday","(14,25]","$60,000 to $99,999",1,4,23,456.776060252932,160.908986628882,"Sleeping","CohAge","IncomeNew"
"Wednesday","(25,44]","Less than $29,999",4,4,23,455.57059370835,213.079027726462,"Sleeping","CohAge","IncomeNew"
"Wednesday","(25,44]","$30,000 to $59,999",4,4,23,310.299548974083,201.329554825612,"Sleeping","CohAge","IncomeNew"
"Wednesday","(25,44]","$60,000 to $99,999",1,4,23,261.29067455867,169.179888899892,"Sleeping","CohAge","IncomeNew"
"Wednesday","(25,44]","$100,000 and over",4,4,23,309.87108761282,175.81063785807,"Sleeping","CohAge","IncomeNew"
"Wednesday","(44,64]","Less than $29,999",4,10.5,17,502.5,202.500003260628,"Sleeping","CohAge","IncomeNew"
"Wednesday","(44,64]","$30,000 to $59,999",4,4,23,287.852766987272,196.829631163723,"Sleeping","CohAge","IncomeNew"
"Wednesday","(44,64]","$60,000 to $99,999",0,4,23,244.29052562696,155.057906977689,"Sleeping","CohAge","IncomeNew"
"Wednesday","(44,64]","$100,000 and over",0,4,23,307.228738900606,161.807904618843,"Sleeping","CohAge","IncomeNew"
"Wednesday","(64,85]","Less than $29,999",1,4,23,391.91725019634,168.518816372152,"Sleeping","CohAge","IncomeNew"
"Wednesday","(64,85]","$30,000 to $59,999",0,4,21,330.892852723622,165.936478567478,"Sleeping","CohAge","IncomeNew"
"Wednesday","(64,85]","$60,000 to $99,999",1,4,22,326.62434426422,184.170867977967,"Sleeping","CohAge","IncomeNew"
"Wednesday","(64,85]","$100,000 and over",4,4,23,336.182341265306,168.350948678205,"Sleeping","CohAge","IncomeNew"
"Monday","(14,25]","Less than $29,999",1,2.5,4,292.5,37.5000002464367,"Sleeping","CohAge","IncomeNew"
"Monday","(14,25]","$30,000 to $59,999",4,4,22,413.898343380612,186.165064026773,"Sleeping","CohAge","IncomeNew"
"Monday","(14,25]","$60,000 to $99,999",1,4,22,412.828985391194,118.836682006971,"Sleeping","CohAge","IncomeNew"
"Monday","(25,44]","Less than $29,999",0,4,22,295.384618651998,157.606217651191,"Sleeping","CohAge","IncomeNew"
"Monday","(25,44]","$30,000 to $59,999",0,4,23,287.0140868999,190.547561258452,"Sleeping","CohAge","IncomeNew"
"Monday","(25,44]","$60,000 to $99,999",4,4,22,422.68061140624,163.848632936707,"Sleeping","CohAge","IncomeNew"
"Monday","(25,44]","$100,000 and over",0,4,22,245.461407279754,169.850873195512,"Sleeping","CohAge","IncomeNew"
"Monday","(44,64]","Less than $29,999",0,4,23,222.872380040299,169.253193868075,"Sleeping","CohAge","IncomeNew"
"Monday","(44,64]","$30,000 to $59,999",4,4,23,283.943336044387,187.642509238059,"Sleeping","CohAge","IncomeNew"
"Monday","(44,64]","$60,000 to $99,999",0,4,23,315.612098156769,151.387869948425,"Sleeping","CohAge","IncomeNew"
"Monday","(44,64]","$100,000 and over",0,4,23,249.10260625353,155.524404258829,"Sleeping","CohAge","IncomeNew"
"Monday","(64,85]","Less than $29,999",0,4,23,368.69922426049,179.653365555034,"Sleeping","CohAge","IncomeNew"
"Monday","(64,85]","$30,000 to $59,999",1,4,22,297.275771609838,162.55615703546,"Sleeping","CohAge","IncomeNew"
"Monday","(64,85]","$60,000 to $99,999",0,4,23,267.268763157941,160.199224623191,"Sleeping","CohAge","IncomeNew"
"Monday","(64,85]","$100,000 and over",1,4,23,250.495500717642,129.549324779471,"Sleeping","CohAge","IncomeNew"
"Thursday","(14,25]","Less than $29,999",0,4,22,339.624175313047,130.35309607423,"Sleeping","CohAge","IncomeNew"
"Thursday","(14,25]","$30,000 to $59,999",1,4,21,313.966024529634,128.204877219763,"Sleeping","CohAge","IncomeNew"
"Thursday","(14,25]","$60,000 to $99,999",4,12.5,21,380,200.000000654166,"Sleeping","CohAge","IncomeNew"
"Thursday","(25,44]","Less than $29,999",1,4,23,431.227217961402,156.826062288885,"Sleeping","CohAge","IncomeNew"
"Thursday","(25,44]","$30,000 to $59,999",4,4,22,293.703836139309,189.864950553684,"Sleeping","CohAge","IncomeNew"
"Thursday","(25,44]","$60,000 to $99,999",4,4,22,226.873307264168,197.762066823137,"Sleeping","CohAge","IncomeNew"
"Thursday","(25,44]","$100,000 and over",4,4,23,306.660801308203,184.376881381913,"Sleeping","CohAge","IncomeNew"
"Thursday","(44,64]","Less than $29,999",0,4,21,268.992978979626,172.067529323255,"Sleeping","CohAge","IncomeNew"
"Thursday","(44,64]","$30,000 to $59,999",4,4,23,251.878229358664,175.294032205479,"Sleeping","CohAge","IncomeNew"
"Thursday","(44,64]","$60,000 to $99,999",1,4,23,323.549240946013,174.075724420179,"Sleeping","CohAge","IncomeNew"
"Thursday","(44,64]","$100,000 and over",4,4,23,244.397703335353,192.034419227805,"Sleeping","CohAge","IncomeNew"
"Thursday","(64,85]","Less than $29,999",0,4,23,325.276611187194,165.055097012665,"Sleeping","CohAge","IncomeNew"
"Thursday","(64,85]","$30,000 to $59,999",5,10,19,190,163.095065295954,"Sleeping","CohAge","IncomeNew"
"Thursday","(64,85]","$60,000 to $99,999",4,13,22,280,190.262977990843,"Sleeping","CohAge","IncomeNew"
"Thursday","(64,85]","$100,000 and over",4,4,23,252.751222854654,159.197306648977,"Sleeping","CohAge","IncomeNew"
"Friday","(14,25]","Less than $29,999",4,4,4,240,0,"Sleeping","CohAge","IncomeNew"
"Friday","(14,25]","$30,000 to $59,999",4,19,21,292.020437018331,242.758856220381,"Sleeping","CohAge","IncomeNew"
"Friday","(14,25]","$60,000 to $99,999",0,2,4,327.5,147.500001235104,"Sleeping","CohAge","IncomeNew"
"Friday","(14,25]","$100,000 and over",4,17,22,426.181567602172,183.298774907363,"Sleeping","CohAge","IncomeNew"
"Friday","(25,44]","Less than $29,999",4,16,23,301.666666666667,170.016342892407,"Sleeping","CohAge","IncomeNew"
"Friday","(25,44]","$30,000 to $59,999",4,4,22,360.970160303389,185.267474359374,"Sleeping","CohAge","IncomeNew"
"Friday","(25,44]","$60,000 to $99,999",2,4,22,318.643524781368,234.634476268825,"Sleeping","CohAge","IncomeNew"
"Friday","(25,44]","$100,000 and over",4,4,23,338.986533790045,199.263047100006,"Sleeping","CohAge","IncomeNew"
"Friday","(44,64]","Less than $29,999",1,4,23,251.016701825977,121.565758514266,"Sleeping","CohAge","IncomeNew"
"Friday","(44,64]","$30,000 to $59,999",4,4,23,441.113889090631,191.229441767518,"Sleeping","CohAge","IncomeNew"
"Friday","(44,64]","$60,000 to $99,999",4,4,23,325.020921903599,135.118622211676,"Sleeping","CohAge","IncomeNew"
"Friday","(44,64]","$100,000 and over",1,4,23,377.979917096404,215.923592370734,"Sleeping","CohAge","IncomeNew"
"Friday","(64,85]","Less than $29,999",1,4,23,246.404786210047,163.077192474516,"Sleeping","CohAge","IncomeNew"
"Friday","(64,85]","$30,000 to $59,999",0,4,23,338.856297587449,206.828043564236,"Sleeping","CohAge","IncomeNew"
"Friday","(64,85]","$60,000 to $99,999",1,4,22,292.557489381339,106.550360643746,"Sleeping","CohAge","IncomeNew"
"Friday","(64,85]","$100,000 and over",0,4,23,277.40430409224,165.362116793781,"Sleeping","CohAge","IncomeNew"
"Saturday","(14,25]","Less than $29,999",0,4,22,501.275563094576,199.266381774729,"Sleeping","CohAge","IncomeNew"
"Saturday","(14,25]","$30,000 to $59,999",4,20,23,378.671631236536,213.555739431331,"Sleeping","CohAge","IncomeNew"
"Saturday","(14,25]","$60,000 to $99,999",0,4,21,451.272306562971,235.149266277354,"Sleeping","CohAge","IncomeNew"
"Saturday","(14,25]","$100,000 and over",0,4,16,637.166427636496,377.292777881211,"Sleeping","CohAge","IncomeNew"
"Saturday","(25,44]","Less than $29,999",1,4,23,349.914704817583,185.240927673165,"Sleeping","CohAge","IncomeNew"
"Saturday","(25,44]","$30,000 to $59,999",1,4,23,327.030674605109,188.065620188362,"Sleeping","CohAge","IncomeNew"
"Saturday","(25,44]","$60,000 to $99,999",1,4,23,345.675988049514,201.71659373464,"Sleeping","CohAge","IncomeNew"
"Saturday","(25,44]","$100,000 and over",0,4,23,308.877674987386,194.783551420538,"Sleeping","CohAge","IncomeNew"
"Saturday","(44,64]","Less than $29,999",0,4,23,337.012381992447,172.704664900256,"Sleeping","CohAge","IncomeNew"
"Saturday","(44,64]","$30,000 to $59,999",0,4,23,350.837920422909,215.702640685555,"Sleeping","CohAge","IncomeNew"
"Saturday","(44,64]","$60,000 to $99,999",0,4,23,344.645474302109,188.965950706247,"Sleeping","CohAge","IncomeNew"
"Saturday","(44,64]","$100,000 and over",0,4,23,284.192596221077,194.399580587985,"Sleeping","CohAge","IncomeNew"
"Saturday","(64,85]","Less than $29,999",2,4,23,327.99399617132,195.966256185324,"Sleeping","CohAge","IncomeNew"
"Saturday","(64,85]","$30,000 to $59,999",0,4,23,339.981249289514,186.634782224948,"Sleeping","CohAge","IncomeNew"
"Saturday","(64,85]","$60,000 to $99,999",0,4,23,294.236566606866,166.439275194317,"Sleeping","CohAge","IncomeNew"
"Saturday","(64,85]","$100,000 and over",1,4,23,299.1509290558,148.979847201805,"Sleeping","CohAge","IncomeNew"
"Sunday","(14,25]","not enrolled",0,4,23,376.894432877013,149.605553486113,"Sleeping","CohAge","Occup_HEROS_Student"
"Sunday","(14,25]","college or university student",0,4,23,382.233436000258,147.956676218817,"Sleeping","CohAge","Occup_HEROS_Student"
"Sunday","(25,44]","not enrolled",0,4,23,380.503855933268,190.404772133529,"Sleeping","CohAge","Occup_HEROS_Student"
"Sunday","(25,44]","college or university student",4,4,22,329.903777507626,161.330116537071,"Sleeping","CohAge","Occup_HEROS_Student"
"Sunday","(44,64]","not enrolled",1,4,23,340.17148791938,185.187629025714,"Sleeping","CohAge","Occup_HEROS_Student"
"Sunday","(44,64]","college or university student",0,2,4,225,75.0000032087915,"Sleeping","CohAge","Occup_HEROS_Student"
"Tuesday","(14,25]","not enrolled",4,4,23,471.351064743993,133.799167835967,"Sleeping","CohAge","Occup_HEROS_Student"
"Tuesday","(14,25]","college or university student",4,4,23,326.311575955101,165.14808927781,"Sleeping","CohAge","Occup_HEROS_Student"
"Tuesday","(25,44]","not enrolled",1,4,23,348.43226312861,209.406158514117,"Sleeping","CohAge","Occup_HEROS_Student"
"Tuesday","(25,44]","college or university student",4,23,23,336.072466549296,128.768281880014,"Sleeping","CohAge","Occup_HEROS_Student"
"Tuesday","(44,64]","not enrolled",1,4,23,284.610063874199,176.533061411409,"Sleeping","CohAge","Occup_HEROS_Student"
"Tuesday","(44,64]","college or university student",21,21,21,643,0,"Sleeping","CohAge","Occup_HEROS_Student"
"Wednesday","(14,25]","not enrolled",1,4,21,444.906984232129,160.85852891858,"Sleeping","CohAge","Occup_HEROS_Student"
"Wednesday","(14,25]","college or university student",4,13.5,23,378.397561175726,191.743014801559,"Sleeping","CohAge","Occup_HEROS_Student"
"Wednesday","(25,44]","not enrolled",1,4,23,322.481992606976,200.176862682098,"Sleeping","CohAge","Occup_HEROS_Student"
"Wednesday","(25,44]","college or university student",4,13,22,285.5,165.500002874339,"Sleeping","CohAge","Occup_HEROS_Student"
"Wednesday","(44,64]","not enrolled",0,4,23,317.679582873134,184.105373209767,"Sleeping","CohAge","Occup_HEROS_Student"
"Monday","(14,25]","not enrolled",4,4,22,437.355201492834,102.146143724998,"Sleeping","CohAge","Occup_HEROS_Student"
"Monday","(14,25]","college or university student",1,4,22,373.407206371965,170.611891715553,"Sleeping","CohAge","Occup_HEROS_Student"
"Monday","(25,44]","not enrolled",0,4,23,290.89113625723,180.751191663737,"Sleeping","CohAge","Occup_HEROS_Student"
"Monday","(44,64]","not enrolled",0,4,22,279.817437514937,162.974316720156,"Sleeping","CohAge","Occup_HEROS_Student"
"Thursday","(14,25]","not enrolled",0,4,22,297.370976182364,127.327988260304,"Sleeping","CohAge","Occup_HEROS_Student"
"Thursday","(14,25]","college or university student",1,4,21,372.831843638893,164.448579657714,"Sleeping","CohAge","Occup_HEROS_Student"
"Thursday","(25,44]","not enrolled",1,4,23,324.952217956887,198.908616574597,"Sleeping","CohAge","Occup_HEROS_Student"
"Thursday","(25,44]","college or university student",4,21,22,323.598042768916,106.563130534054,"Sleeping","CohAge","Occup_HEROS_Student"
"Thursday","(44,64]","not enrolled",4,4,23,303.637317522067,167.042444822995,"Sleeping","CohAge","Occup_HEROS_Student"
"Friday","(14,25]","not enrolled",0,4,21,299.110919750948,227.384523458314,"Sleeping","CohAge","Occup_HEROS_Student"
"Friday","(14,25]","college or university student",4,4,22,412.202277642072,182.98359253628,"Sleeping","CohAge","Occup_HEROS_Student"
"Friday","(25,44]","not enrolled",2,4,23,330.392075547833,214.731805786091,"Sleeping","CohAge","Occup_HEROS_Student"
"Friday","(25,44]","college or university student",4,4,23,389.099876668379,140.293611173282,"Sleeping","CohAge","Occup_HEROS_Student"
"Friday","(44,64]","not enrolled",4,4,23,390.716825294352,172.451155599815,"Sleeping","CohAge","Occup_HEROS_Student"
"Saturday","(14,25]","not enrolled",0,4,23,521.779341473432,302.30606264667,"Sleeping","CohAge","Occup_HEROS_Student"
"Saturday","(14,25]","college or university student",0,4,22,442.437930372885,221.243030640588,"Sleeping","CohAge","Occup_HEROS_Student"
"Saturday","(25,44]","not enrolled",0,4,23,329.324621035442,193.276000751763,"Sleeping","CohAge","Occup_HEROS_Student"
"Saturday","(25,44]","college or university student",4,23,23,302.611131527806,165.232389215691,"Sleeping","CohAge","Occup_HEROS_Student"
"Saturday","(44,64]","not enrolled",0,4,23,315.111923883976,190.517609642635,"Sleeping","CohAge","Occup_HEROS_Student"
"Sunday","(14,25]","not in a labor force",1,4,23,377.257001985042,170.216459802436,"Sleeping","CohAge","Occup_HEROS_Employed"
"Sunday","(14,25]","worker",0,4,23,385.271780662028,117.863990127772,"Sleeping","CohAge","Occup_HEROS_Employed"
"Sunday","(25,44]","not in a labor force",0,4,23,399.005035913373,229.899210162842,"Sleeping","CohAge","Occup_HEROS_Employed"
"Sunday","(25,44]","worker",0,4,23,372.722149654095,181.143707237172,"Sleeping","CohAge","Occup_HEROS_Employed"
"Sunday","(25,44]","unemployed",0,2,4,377.5,17.5000006449187,"Sleeping","CohAge","Occup_HEROS_Employed"
"Sunday","(44,64]","not in a labor force",0,4,23,333.706619777521,166.371292581477,"Sleeping","CohAge","Occup_HEROS_Employed"
"Sunday","(44,64]","worker",0,4,23,332.911290439799,169.010567317095,"Sleeping","CohAge","Occup_HEROS_Employed"
"Sunday","(64,85]","not in a labor force",0,4,23,314.741043024496,191.609043710462,"Sleeping","CohAge","Occup_HEROS_Employed"
"Sunday","(64,85]","worker",1,4,23,306.556949256545,164.488489217793,"Sleeping","CohAge","Occup_HEROS_Employed"
"Tuesday","(14,25]","not in a labor force",4,4,23,416.102797824089,171.876496167961,"Sleeping","CohAge","Occup_HEROS_Employed"
"Tuesday","(14,25]","worker",4,13,22,405,105.000001113593,"Sleeping","CohAge","Occup_HEROS_Employed"
"Tuesday","(25,44]","not in a labor force",4,13,22,425.682155253531,158.908166203492,"Sleeping","CohAge","Occup_HEROS_Employed"
"Tuesday","(25,44]","worker",1,4,23,339.438863376187,208.877238494627,"Sleeping","CohAge","Occup_HEROS_Employed"
"Tuesday","(44,64]","not in a labor force",4,4,23,406.752551705989,169.633973553902,"Sleeping","CohAge","Occup_HEROS_Employed"
"Tuesday","(44,64]","worker",0,4,23,282.994545266891,160.459844462691,"Sleeping","CohAge","Occup_HEROS_Employed"
"Tuesday","(44,64]","unemployed",4,4,23,448.890798487628,135.435060421526,"Sleeping","CohAge","Occup_HEROS_Employed"
"Tuesday","(64,85]","not in a labor force",0,4,23,267.977359483468,167.168192779817,"Sleeping","CohAge","Occup_HEROS_Employed"
"Tuesday","(64,85]","worker",3,4,23,220.355863815124,161.235388275263,"Sleeping","CohAge","Occup_HEROS_Employed"
"Wednesday","(14,25]","not in a labor force",1,4,23,338.08575064354,138.266826612015,"Sleeping","CohAge","Occup_HEROS_Employed"
"Wednesday","(14,25]","worker",4,4,23,445.04414390964,185.794782442223,"Sleeping","CohAge","Occup_HEROS_Employed"
"Wednesday","(14,25]","unemployed",4,12,20,580,100.000000574863,"Sleeping","CohAge","Occup_HEROS_Employed"
"Wednesday","(25,44]","not in a labor force",4,4,23,472.108379637437,207.236818182809,"Sleeping","CohAge","Occup_HEROS_Employed"
"Wednesday","(25,44]","worker",1,4,23,303.018971624177,190.263673719379,"Sleeping","CohAge","Occup_HEROS_Employed"
"Wednesday","(44,64]","not in a labor force",4,4,23,450.406562124581,205.992851221249,"Sleeping","CohAge","Occup_HEROS_Employed"
"Wednesday","(44,64]","worker",0,4,23,279.123894132356,166.933215053648,"Sleeping","CohAge","Occup_HEROS_Employed"
"Wednesday","(64,85]","not in a labor force",0,4,23,365.650831859899,165.25366121701,"Sleeping","CohAge","Occup_HEROS_Employed"
"Wednesday","(64,85]","worker",1,4,22,319.201931222735,198.517187614893,"Sleeping","CohAge","Occup_HEROS_Employed"
"Monday","(14,25]","not in a labor force",4,4,22,413.898343380612,186.165064026773,"Sleeping","CohAge","Occup_HEROS_Employed"
"Monday","(14,25]","worker",1,4,22,386.307943398535,117.504889706003,"Sleeping","CohAge","Occup_HEROS_Employed"
"Monday","(25,44]","not in a labor force",0,4,23,302.741642731449,182.882405761826,"Sleeping","CohAge","Occup_HEROS_Employed"
"Monday","(25,44]","worker",0,4,23,284.948599586004,179.378473463328,"Sleeping","CohAge","Occup_HEROS_Employed"
"Monday","(44,64]","not in a labor force",0,4,23,208.321514234817,137.830020988152,"Sleeping","CohAge","Occup_HEROS_Employed"
"Monday","(44,64]","worker",0,4,23,295.860349514352,172.373537467809,"Sleeping","CohAge","Occup_HEROS_Employed"
"Monday","(44,64]","unemployed",0,2,4,195,105.000002172935,"Sleeping","CohAge","Occup_HEROS_Employed"
