"days","Cat_1","Cat_2","StartTime","total_StartTime","average_duration","std_duration","proportion_StartTime","Activity","Var_1","Var_2"
"Sunday","(44,64]","Female",15,21001.7105523956,62.2924656887894,79.0374382428819,0.0180731481504523,"Sleeping","CohAge","SEX2"
"Sunday","(44,64]","Female",16,19792.8972186896,60,0,0.0170328965760957,"Sleeping","CohAge","SEX2"
"Sunday","(44,64]","Female",20,77112.3382648352,564.358931176401,26.4349874621305,0.0663594858243195,"Sleeping","CohAge","SEX2"
"Sunday","(44,64]","Female",21,142172.12838819,526.337619980325,99.9209774182702,0.122347078958851,"Sleeping","CohAge","SEX2"
"Sunday","(44,64]","Female",22,160740.058266445,449.399662719377,51.2350059028995,0.13832582253308,"Sleeping","CohAge","SEX2"
"Sunday","(44,64]","Female",23,54485.5637963352,413.30374819903,78.8981786776634,0.0468878791608601,"Sleeping","CohAge","SEX2"
"Sunday","(64,85]","Male",0,17817.5484855769,480,0.000000000000056843423243096,0.0348640530018467,"Sleeping","CohAge","SEX2"
"Sunday","(64,85]","Male",2,8991.70480366483,360,0,0.017594298851253,"Sleeping","CohAge","SEX2"
"Sunday","(64,85]","Male",4,221838.01697383,183.766455492578,78.5688783472281,0.434076123764214,"Sleeping","CohAge","SEX2"
"Sunday","(64,85]","Male",12,21094.9171984121,113.606252596947,7.41796551339876,0.0412769642170666,"Sleeping","CohAge","SEX2"
"Sunday","(64,85]","Male",19,53934.5202327308,402.299052068095,151.909151263599,0.105535055708996,"Sleeping","CohAge","SEX2"
"Sunday","(64,85]","Male",20,29748.5051042308,492.059405373489,185.011119967318,0.0582096610832389,"Sleeping","CohAge","SEX2"
"Sunday","(64,85]","Male",21,61912.8909585247,465.11618535976,41.7899550385686,0.121146537842895,"Sleeping","CohAge","SEX2"
"Sunday","(64,85]","Male",22,32042.1011512143,466.651317027377,27.442005167439,0.0626975991523616,"Sleeping","CohAge","SEX2"
"Sunday","(64,85]","Male",23,63677.6598969533,451.685127051139,46.3131514214616,0.124599706378128,"Sleeping","CohAge","SEX2"
"Sunday","(64,85]","Female",0,53461.9039374341,351.293319197823,126.427844834637,0.0809412184316759,"Sleeping","CohAge","SEX2"
"Sunday","(64,85]","Female",1,14152.8261305,440,0.0000000000000568434243778426,0.0214273511956281,"Sleeping","CohAge","SEX2"
"Sunday","(64,85]","Female",2,15715.6099156374,15,1.77635699466313e-15,0.023793402802438,"Sleeping","CohAge","SEX2"
"Sunday","(64,85]","Female",3,28490.1214890879,241.918697979592,101.952376381602,0.0431339884432841,"Sleeping","CohAge","SEX2"
"Sunday","(64,85]","Female",4,275782.936547538,193.716900480905,64.3500014014322,0.41753482878101,"Sleeping","CohAge","SEX2"
"Sunday","(64,85]","Female",6,7390.12969229121,360,0,0.0111886419601177,"Sleeping","CohAge","SEX2"
"Sunday","(64,85]","Female",11,15905.8361018599,185,0,0.0240814048778688,"Sleeping","CohAge","SEX2"
"Sunday","(64,85]","Female",12,7390.12969229121,315,0,0.0111886419601177,"Sleeping","CohAge","SEX2"
"Sunday","(64,85]","Female",13,6281.02043900824,120,0.0000000000000142108578230427,0.00950945271089774,"Sleeping","CohAge","SEX2"
"Sunday","(64,85]","Female",14,24291.6726198104,92.8717849538833,64.965153567349,0.0367775450326621,"Sleeping","CohAge","SEX2"
"Sunday","(64,85]","Female",15,11797.9184095962,60,0,0.0178620254929149,"Sleeping","CohAge","SEX2"
"Sunday","(64,85]","Female",20,14824.5575532692,530.307992782254,37.6205401587992,0.0224443512613462,"Sleeping","CohAge","SEX2"
"Sunday","(64,85]","Female",21,48210.9176684725,706.954313373826,262.185870744107,0.0729912354479957,"Sleeping","CohAge","SEX2"
"Sunday","(64,85]","Female",22,109364.752510904,475.385102041063,80.4718695979904,0.165578022287998,"Sleeping","CohAge","SEX2"
"Sunday","(64,85]","Female",23,27442.4985236126,418.256855083305,136.32886972206,0.0415478893140461,"Sleeping","CohAge","SEX2"
"Tuesday","(14,25]","Male",4,246993.23766592,328.274236621042,52.9203890258511,0.5,"Sleeping","CohAge","SEX2"
"Tuesday","(14,25]","Male",23,246993.23766592,604.090626573851,43.2183177044451,0.5,"Sleeping","CohAge","SEX2"
"Tuesday","(14,25]","Female",4,159107.537756571,193.262752904964,88.4299988392089,0.5,"Sleeping","CohAge","SEX2"
"Tuesday","(14,25]","Female",22,159107.537756571,474.420917634988,29.4766662797363,0.5,"Sleeping","CohAge","SEX2"
"Tuesday","(25,44]","Male",1,34116.5442808874,360,0,0.0513851266052642,"Sleeping","CohAge","SEX2"
"Tuesday","(25,44]","Male",2,48916.3716570962,275,0,0.0736761006617598,"Sleeping","CohAge","SEX2"
"Tuesday","(25,44]","Male",4,269308.553956481,194.793930093219,91.5023191286495,0.405622973622417,"Sleeping","CohAge","SEX2"
"Tuesday","(25,44]","Male",6,23538.2771149341,15,0,0.0354525165169871,"Sleeping","CohAge","SEX2"
"Tuesday","(25,44]","Male",15,48916.3716570962,30,0,0.0736761006617598,"Sleeping","CohAge","SEX2"
"Tuesday","(25,44]","Male",21,52866.3618870907,424,0,0.0796254355764197,"Sleeping","CohAge","SEX2"
"Tuesday","(25,44]","Male",22,31284.1739440797,495,0,0.0471191110571598,"Sleeping","CohAge","SEX2"
"Tuesday","(25,44]","Male",23,154991.464074418,417.115301983383,18.1677559384523,0.233442635298233,"Sleeping","CohAge","SEX2"
"Tuesday","(25,44]","Female",4,410235.475521994,238.837452161555,110.003363701316,0.423044168212659,"Sleeping","CohAge","SEX2"
"Tuesday","(25,44]","Female",17,84131.533440706,120,0,0.0867583539419443,"Sleeping","CohAge","SEX2"
"Tuesday","(25,44]","Female",19,41744.1542913736,545,0,0.0430475229073363,"Sleeping","CohAge","SEX2"
"Tuesday","(25,44]","Female",20,83149.6271831346,840,0,0.08574578983966,"Sleeping","CohAge","SEX2"
"Tuesday","(25,44]","Female",21,32261.3098495357,445,0.0000000000000568434212810949,0.0332685976837612,"Sleeping","CohAge","SEX2"
"Tuesday","(25,44]","Female",22,166381.204090607,615.458216033455,79.1715791901342,0.17157608810201,"Sleeping","CohAge","SEX2"
"Tuesday","(25,44]","Female",23,151819.259711451,449.344104417924,55.8152748054092,0.156559479312629,"Sleeping","CohAge","SEX2"
"Tuesday","(44,64]","Male",0,213508.486227887,344.605682627332,82.7080243793541,0.214885858643631,"Sleeping","CohAge","SEX2"
"Tuesday","(44,64]","Male",3,49300.966742206,180,0,0.0496190140145179,"Sleeping","CohAge","SEX2"
"Tuesday","(44,64]","Male",4,420742.735003374,191.543916092429,89.4899409693628,0.423457003871824,"Sleeping","CohAge","SEX2"
"Tuesday","(44,64]","Male",21,65573.6121084478,405,0.0000000000000568434200515556,0.0659966364393049,"Sleeping","CohAge","SEX2"
"Tuesday","(44,64]","Male",22,38383.0725420769,600,0,0.0386306869872214,"Sleeping","CohAge","SEX2"
"Tuesday","(44,64]","Male",23,206081.341155371,355.966103884812,99.1258737201141,0.207410800043501,"Sleeping","CohAge","SEX2"
"Tuesday","(44,64]","Female",1,89915.9196280714,440.140446330784,31.5557746748338,0.0461284656101019,"Sleeping","CohAge","SEX2"
"Tuesday","(44,64]","Female",2,68806.0922083626,225,0,0.0352987487791658,"Sleeping","CohAge","SEX2"
"Tuesday","(44,64]","Female",3,93175.8886541978,192.720916164437,45.1423165230357,0.0478008876876794,"Sleeping","CohAge","SEX2"
"Tuesday","(44,64]","Female",4,916609.752604577,193.40599529994,105.660722511804,0.470237101792418,"Sleeping","CohAge","SEX2"
"Tuesday","(44,64]","Female",8,13684.2794743654,450,0.0000000000000568434245667446,0.00702027869751352,"Sleeping","CohAge","SEX2"
"Tuesday","(44,64]","Female",11,61083.2524310302,180,0,0.0313367946496349,"Sleeping","CohAge","SEX2"
"Tuesday","(44,64]","Female",16,32092.6362231676,235,0.0000000000000284217106469078,0.0164640930380445,"Sleeping","CohAge","SEX2"
"Tuesday","(44,64]","Female",20,68677.367696283,660,0,0.0352327108155526,"Sleeping","CohAge","SEX2"
"Tuesday","(44,64]","Female",21,125001.13840347,472.781968201479,62.2728020325089,0.0641278067100799,"Sleeping","CohAge","SEX2"
"Tuesday","(44,64]","Female",22,268796.293753604,490.809886677023,157.741138206369,0.137897278299815,"Sleeping","CohAge","SEX2"
"Tuesday","(44,64]","Female",23,211407.553166261,533.159364844632,49.701173813284,0.108455833919994,"Sleeping","CohAge","SEX2"
"Tuesday","(64,85]","Male",0,18093.8063763764,360,0,0.0333477648181344,"Sleeping","CohAge","SEX2"
"Tuesday","(64,85]","Male",2,48759.0032956511,320,0,0.0898652135900467,"Sleeping","CohAge","SEX2"
"Tuesday","(64,85]","Male",3,14993.9561299918,230,0.0000000000000284217120341741,0.0276345901086473,"Sleeping","CohAge","SEX2"
"Tuesday","(64,85]","Male",4,213932.817062934,160.614792074812,103.437051303805,0.394288582617432,"Sleeping","CohAge","SEX2"
"Tuesday","(64,85]","Male",16,28790.8764751703,60,0,0.0530629850696025,"Sleeping","CohAge","SEX2"
"Tuesday","(64,85]","Male",18,22350.392470739,510,0,0.0411928599324646,"Sleeping","CohAge","SEX2"
"Tuesday","(64,85]","Male",19,48578.4253485714,97.4712878980454,78.5295055233606,0.089532399654422,"Sleeping","CohAge","SEX2"
"Tuesday","(64,85]","Male",21,37827.2397560769,540,0,0.0697174419171311,"Sleeping","CohAge","SEX2"
"Tuesday","(64,85]","Male",22,94258.8115048379,430.249224273342,64.5532262059066,0.173723572183472,"Sleeping","CohAge","SEX2"
"Tuesday","(64,85]","Male",23,14993.9561299918,80,0,0.0276345901086473,"Sleeping","CohAge","SEX2"
"Tuesday","(64,85]","Female",3,41635.4099879203,300,0,0.113458998518234,"Sleeping","CohAge","SEX2"
"Tuesday","(64,85]","Female",4,82475.5431264121,177.201455549088,114.675593743176,0.224750819748983,"Sleeping","CohAge","SEX2"
"Tuesday","(64,85]","Female",5,13356.8027799423,120,0,0.0363980916065794,"Sleeping","CohAge","SEX2"
"Tuesday","(64,85]","Female",13,18261.1835217527,120,0,0.0497628243540019,"Sleeping","CohAge","SEX2"
"Tuesday","(64,85]","Female",19,57701.5426730522,210,0,0.157240177208319,"Sleeping","CohAge","SEX2"
"Tuesday","(64,85]","Female",21,40840.1331384918,617.15821454939,114.355492647501,0.11129182123075,"Sleeping","CohAge","SEX2"
"Tuesday","(64,85]","Female",22,41635.4099879203,120,0,0.113458998518234,"Sleeping","CohAge","SEX2"
"Tuesday","(64,85]","Female",23,71058.3454529945,289.127708265422,106.267090542266,0.193638268814899,"Sleeping","CohAge","SEX2"
"Wednesday","(14,25]","Male",4,338481.062432648,329.278793808905,140.913926268364,0.5,"Sleeping","CohAge","SEX2"
"Wednesday","(14,25]","Male",20,119474.313634368,680,0,0.176485964644095,"Sleeping","CohAge","SEX2"
"Wednesday","(14,25]","Male",21,57070.0967876099,620,0,0.084303234540582,"Sleeping","CohAge","SEX2"
"Wednesday","(14,25]","Male",23,161936.65201067,528.397561175726,119.437781523859,0.239210800815323,"Sleeping","CohAge","SEX2"
"Wednesday","(14,25]","Female",1,106205.478515047,359,0,0.350668910280955,"Sleeping","CohAge","SEX2"
"Wednesday","(14,25]","Female",4,151432.698196648,255.200673084286,68.6507059742041,0.5,"Sleeping","CohAge","SEX2"
"Wednesday","(14,25]","Female",21,45227.2196816017,530,0,0.149331089719045,"Sleeping","CohAge","SEX2"
"Wednesday","(25,44]","Male",1,60057.1544836236,270,0,0.0494317897086225,"Sleeping","CohAge","SEX2"
"Wednesday","(25,44]","Male",4,529239.882256805,134.46499823715,66.2306341319591,0.435606295204482,"Sleeping","CohAge","SEX2"
"Wednesday","(25,44]","Male",5,29163.0923539478,120,0,0.0240035323166464,"Sleeping","CohAge","SEX2"
"Wednesday","(25,44]","Male",11,49072.0413418626,90,0,0.0403901724788714,"Sleeping","CohAge","SEX2"
"Wednesday","(25,44]","Male",19,89171.3199110989,635.854054467836,59.6220113791341,0.0733950512938087,"Sleeping","CohAge","SEX2"
"Wednesday","(25,44]","Male",20,57139.3085525302,600,0,0.0470301716548185,"Sleeping","CohAge","SEX2"
"Wednesday","(25,44]","Male",21,123994.713505154,440.174103372223,88.8721151703213,0.102057459359634,"Sleeping","CohAge","SEX2"
"Wednesday","(25,44]","Male",22,198036.303491052,433.465208193978,60.4937845471713,0.162999545899431,"Sleeping","CohAge","SEX2"
"Wednesday","(25,44]","Male",23,79076.2160091566,453.053520364848,18.7549042359255,0.0650859820836852,"Sleeping","CohAge","SEX2"
"Wednesday","(25,44]","Female",4,457763.414436511,200.81332999597,91.1656287413988,0.471293312534286,"Sleeping","CohAge","SEX2"
"Wednesday","(25,44]","Female",13,13676.9624918516,60,7.10542807122465e-15,0.0140812060442326,"Sleeping","CohAge","SEX2"
"Wednesday","(25,44]","Female",19,42088.1880926319,30,0,0.0433321688871963,"Sleeping","CohAge","SEX2"
"Wednesday","(25,44]","Female",20,50413.1684108846,526.155433004059,35.0034284097378,0.0519032067360855,"Sleeping","CohAge","SEX2"
"Wednesday","(25,44]","Female",22,252473.349754261,503.532063776484,67.3423823236222,0.259935585893826,"Sleeping","CohAge","SEX2"
"Wednesday","(25,44]","Female",23,154876.896271365,593.443931018138,136.508276033747,0.159454519904374,"Sleeping","CohAge","SEX2"
"Wednesday","(44,64]","Male",4,435335.713822316,126.952371889911,64.2947911386444,0.464650466973465,"Sleeping","CohAge","SEX2"
"Wednesday","(44,64]","Male",8,22079.5562646319,300,0,0.0235663553510233,"Sleeping","CohAge","SEX2"
"Wednesday","(44,64]","Male",13,22079.5562646319,80,0,0.0235663553510233,"Sleeping","CohAge","SEX2"
"Wednesday","(44,64]","Male",17,42654.261556489,705,0,0.0455265256705318,"Sleeping","CohAge","SEX2"
"Wednesday","(44,64]","Male",21,115986.271865626,471.579850996558,21.4025111023681,0.123796586573807,"Sleeping","CohAge","SEX2"
"Wednesday","(44,64]","Male",22,97066.7912164066,384.527910226407,37.7277306528084,0.103603100858221,"Sleeping","CohAge","SEX2"
"Wednesday","(44,64]","Male",23,201707.945448426,402.496658588763,63.728214529619,0.215290609221928,"Sleeping","CohAge","SEX2"
"Wednesday","(44,64]","Female",0,110639.149994975,405.740498536536,109.917500641546,0.14144179897108,"Sleeping","CohAge","SEX2"
"Wednesday","(44,64]","Female",4,341987.778966887,152.568854658991,59.7313112517527,0.437199370072866,"Sleeping","CohAge","SEX2"
"Wednesday","(44,64]","Female",17,45070.8528922005,60,0,0.0576188674128756,"Sleeping","CohAge","SEX2"
"Wednesday","(44,64]","Female",21,66763.7169729286,528.952721445335,15.9237281384785,0.085351163987394,"Sleeping","CohAge","SEX2"
"Wednesday","(44,64]","Female",22,124314.817040327,477.542914531892,33.4890470129906,0.158924859434866,"Sleeping","CohAge","SEX2"
"Wednesday","(44,64]","Female",23,93447.5444046896,441.60772810327,38.4998498468749,0.119463940120919,"Sleeping","CohAge","SEX2"
"Wednesday","(64,85]","Male",4,245012.484085184,266.177038103189,72.0955839583244,0.537473939581068,"Sleeping","CohAge","SEX2"
"Wednesday","(64,85]","Male",20,55046.1615824698,645,0,0.120752529957861,"Sleeping","CohAge","SEX2"
"Wednesday","(64,85]","Male",21,41329.9701939093,570,0,0.0906638777441458,"Sleeping","CohAge","SEX2"
"Wednesday","(64,85]","Male",23,114470.665941305,574.341418916861,40.6313863153069,0.251109652716925,"Sleeping","CohAge","SEX2"
"Wednesday","(64,85]","Female",0,38940.9660585522,390,0,0.0488837188937848,"Sleeping","CohAge","SEX2"
"Wednesday","(64,85]","Female",1,58151.6267852582,278.877044371428,109.896981010515,0.0729994159033594,"Sleeping","CohAge","SEX2"
"Wednesday","(64,85]","Female",4,330157.675951712,206.657062262735,53.5729891876926,0.414456462060583,"Sleeping","CohAge","SEX2"
"Wednesday","(64,85]","Female",5,20510.5732149121,240,0,0.0257475146836517,"Sleeping","CohAge","SEX2"
"Wednesday","(64,85]","Female",8,51262.7009935522,205,0,0.0643515484782023,"Sleeping","CohAge","SEX2"
"Wednesday","(64,85]","Female",9,20510.5732149121,90,0,0.0257475146836517,"Sleeping","CohAge","SEX2"
"Wednesday","(64,85]","Female",15,11971.4834179451,30,0,0.0150281487435238,"Sleeping","CohAge","SEX2"
"Wednesday","(64,85]","Female",20,51262.7009935522,570,0,0.0643515484782023,"Sleeping","CohAge","SEX2"
"Wednesday","(64,85]","Female",21,16992.1885990714,570,0,0.0213307849019005,"Sleeping","CohAge","SEX2"
"Wednesday","(64,85]","Female",22,196843.51185244,497.983999399533,106.162123624899,0.247103343173141,"Sleeping","CohAge","SEX2"
"Monday","(14,25]","Male",1,51121.1019668187,160,0,0.052090074556567,"Sleeping","CohAge","SEX2"
"Monday","(14,25]","Male",4,448738.846975843,275.708392290606,103.815130607352,0.457244446932532,"Sleeping","CohAge","SEX2"
"Monday","(14,25]","Male",5,83920.4399923132,510,0,0.0855111061349357,"Sleeping","CohAge","SEX2"
"Monday","(14,25]","Male",21,324469.279195437,536.769417262776,25.63102146969,0.330619417311783,"Sleeping","CohAge","SEX2"
"Monday","(14,25]","Male",22,73148.4658135879,545,0,0.0745349550641818,"Sleeping","CohAge","SEX2"
"Monday","(14,25]","Female",1,104511.61401892,330,0,0.155759189704929,"Sleeping","CohAge","SEX2"
"Monday","(14,25]","Female",4,335491.004469489,285.981672926556,20.8401350265152,0.5,"Sleeping","CohAge","SEX2"
"Monday","(14,25]","Female",22,230979.390450569,600,0,0.344240810295072,"Sleeping","CohAge","SEX2"
"Monday","(25,44]","Male",0,115864.52854594,584.861602991643,92.9005755161922,0.112110916965603,"Sleeping","CohAge","SEX2"
"Monday","(25,44]","Male",2,32127.2178271401,240,0.0000000000000284217106455983,0.0310864066453801,"Sleeping","CohAge","SEX2"
"Monday","(25,44]","Male",4,403262.904456159,186.528454639364,108.815720970328,0.390198575562034,"Sleeping","CohAge","SEX2"
"Monday","(25,44]","Male",9,49142.1828274863,138.004454200254,24.7400744053348,0.0475501453949846,"Sleeping","CohAge","SEX2"
"Monday","(25,44]","Male",11,66052.5976124176,15,1.77635687634128e-15,0.0639127209959862,"Sleeping","CohAge","SEX2"
"Monday","(25,44]","Male",12,30595.7918489121,530,0,0.0296045935931999,"Sleeping","CohAge","SEX2"
"Monday","(25,44]","Male",21,83722.5104473434,520.099356107442,26.4854770203176,0.0810101895265758,"Sleeping","CohAge","SEX2"
"Monday","(25,44]","Male",22,219142.996263953,365.736811754303,89.5365827132447,0.212043518116075,"Sleeping","CohAge","SEX2"
"Monday","(25,44]","Male",23,33570.5018109945,450,0.0000000000000568434211867078,0.032482933200162,"Sleeping","CohAge","SEX2"
"Monday","(25,44]","Female",0,56759.3434081236,310,0,0.0544422084305929,"Sleeping","CohAge","SEX2"
"Monday","(25,44]","Female",4,435250.991645467,163.488935322722,87.9566646229808,0.417482370019687,"Sleeping","CohAge","SEX2"
"Monday","(25,44]","Female",7,34406.2763878489,180,0,0.0330016796875025,"Sleeping","CohAge","SEX2"
"Monday","(25,44]","Female",9,21768.8674501236,63,0,0.0208801784491389,"Sleeping","CohAge","SEX2"
"Monday","(25,44]","Female",14,115884.24288761,101.118117205922,47.4694497764939,0.111153401823985,"Sleeping","CohAge","SEX2"
"Monday","(25,44]","Female",20,55538.0307408022,536.758897728146,14.6456569218877,0.0532707544496132,"Sleeping","CohAge","SEX2"
"Monday","(25,44]","Female",21,60319.5532461566,437.848061829817,35.8855446141499,0.0578570767927081,"Sleeping","CohAge","SEX2"
"Monday","(25,44]","Female",22,208880.258775283,496.265235900637,45.7583874053128,0.200352962216482,"Sleeping","CohAge","SEX2"
"Monday","(25,44]","Female",23,53753.8054751017,418.599285467559,4.799791659649,0.0515593681302906,"Sleeping","CohAge","SEX2"
"Monday","(44,64]","Male",1,53866.2229809725,171.380524498249,95.5275333125123,0.0342165299396127,"Sleeping","CohAge","SEX2"
"Monday","(44,64]","Male",2,63288.4066816319,230,0,0.0402016243614738,"Sleeping","CohAge","SEX2"
"Monday","(44,64]","Male",3,84269.6181631236,296.350019225494,180.472515034665,0.0535291645359426,"Sleeping","CohAge","SEX2"
"Monday","(44,64]","Male",4,657567.751630695,156.881327926669,80.6605479245563,0.417695643315166,"Sleeping","CohAge","SEX2"
"Monday","(44,64]","Male",11,31841.8981084258,180,0,0.0202263904849224,"Sleeping","CohAge","SEX2"
"Monday","(44,64]","Male",13,10996.101774511,60,7.10542824520685e-15,0.00698486778476167,"Sleeping","CohAge","SEX2"
